movieCd,salesAcc,audiAcc,movieNm_box,actors,directors,genres,nations,repNationNm,productionCompanies
20240925,2234086339,240874,"안녕, 할부지",푸바오|아이바오|러바오|루이바오|후이바오,토마스 고|심형준,다큐멘터리|애니메이션,한국,,(주)에이컴즈
20240926,97470700,12815,만천과해,허광한|장균녕|혜영홍|윤정,천줘,범죄|스릴러,중국,,
20240941,15791938918,1608157,베놈: 라스트 댄스,톰 하디|치웨텔 에지오포|주노 템플|리스 이판|페기 루,켈리 마르셀,액션|SF|스릴러,미국,,
20240983,6486231332,666327,명탐정 코난: 100만 달러의 펜타그램,김선혜|강수진|신용우|최재호,나가오카 치카,애니메이션,일본,,TMS 엔터테인먼트
20240984,35536839,3707,박정희: 경제대국을 꿈꾼 남자,신민호|김효선,손현우,공연|뮤지컬|드라마,한국,,(주)파이브데이
20241002,164071473,17665,이매큘레이트,시드니 스위니|알바로 모르테,마이클 모한,공포(호러),미국,,
20241093,1420582100,158879,"그 시절, 우리가 좋아했던 소녀",진영|다현|손정혁|이민구|김요한,조영명,멜로/로맨스,한국,,(주)영화사테이크|주식회사 자유로픽쳐스
20241098,404079200,44360,극장판 블루 록 -에피소드 나기-,시마자키 노부나가|우치다 유우마|오키츠 카즈유키|우라 카즈키,이시카와 슌스케,애니메이션,일본,,
20241110,1852006000,67068,아이유 콘서트 : 더 위닝,이지은,오윤동|이예지,공연,한국,,씨제이포디플렉스 주식회사|스크린엑스 스튜디오
20241180,94394200,10487,"괜찮아, 앨리스",이주연|황하름|오연호|김혜일|김민지,양지혜,다큐멘터리,한국,,오마이뉴스
20241337,5870775169,566715,트위스터스,글렌 파월|데이지 에드가 존스,정이삭,액션|어드벤처|드라마,미국,,
20241343,416974201,38685,우마무스메 프리티 더비 새로운 시대의 문,,,애니메이션,일본,,
20241389,15550600,2371,보더랜드,케이트 블란쳇|케빈 하트|잭 블랙|아리나 그린블랫|제이미 리 커티스,일라이 로스,판타지|액션|코미디,미국,,
20241497,516010570,52585,스마일 2,나오미 스콧|카일 갈너|로즈마리 드윗,파커 핀,공포(호러)|미스터리,미국,,
20241591,283124000,11331,블랙핑크 월드투어 [본 핑크] 인 시네마,,민근|오윤동,공연,한국,,씨제이포디플렉스 주식회사|스크린엑스 스튜디오
20241827,1343378800,140751,플로우,,긴츠 질발로디스,애니메이션,기타,,
20241910,102522100,12420,공포특급,고이경|이태리|오하늬|이기창|아인,김진웅,공포(호러)|스릴러,한국,,스모크필름
20241924,520106200,45340,극장총집편 봇치 더 록! 전편,아오야마 요시노|스즈시로 사유미|미즈노 사쿠|하세가와 이쿠미,사이토 케이이치로,애니메이션,일본,,
20241984,640030500,25607,2023 영탁 단독 콘서트 : 탁쇼2,,,공연,한국,,씨제이 씨지브이(CJ CGV)(주)
20242098,265288100,32355,헬로카봇 올스타 스페셜,,이슬기|김동준,애니메이션,한국,,(주)초이락컨텐츠컴퍼니
20242170,170118700,21827,빌리와 용감한 녀석들: 스노우 베어 구조대,,가브리엘 리바 팔라시오 알라트리스테|로돌포 리바 팔라시오 알라트리스테,애니메이션,멕시코,,
20242247,31853500,3915,애시드 레인: 죽음의 비,기욤 까네|라에티샤 도슈,쥐스트 필리포,기타,프랑스,,
20242248,8560526040,877980,글래디에이터 Ⅱ,폴 메스칼|페드로 파스칼|덴젤 워싱턴|코니 닐슨|조셉 퀸,리들리 스콧,액션|사극,미국,,
20242349,108169000,4327,이준호 콘서트 : 다시 만나는 날,이준호,,공연,한국,,(주)제이와이피엔터테인먼트
20242375,294649100,33726,롱레그스,마이카 먼로|니콜라스 케이지,,공포(호러)|스릴러,미국,,
20242404,15767949646,1591385,캡틴 아메리카: 브레이브 뉴 월드,안소니 마키|해리슨 포드|대니 라미레즈|칼 럼블리|지안카를로 에스포지토,줄리어스 오나,액션|어드벤처|SF,미국,,
20242473,1369972500,54811,세븐틴 투어 ‘팔로우’ 어게인 투 시네마,,오윤동,공연,한국,,씨제이포디플렉스 주식회사|스크린엑스 스튜디오
20242495,1987839500,227674,브레드이발소: 빵스타의 탄생,엄상현|박윤희|강시현|홍범기|김현욱,정지환,애니메이션,한국,,㈜브레드이발소
20242541,2024821144,212066,룩백,카와이 유미|요시다 미즈키,오시야마 키요타카,애니메이션,일본,,
20242794,7815466000,274370,임영웅│아임 히어로 더 스타디움,임영웅,정현철|조우영,공연|다큐멘터리,한국,,(주)씨제이이엔엠
20242911,239011250,19158,마야,,,공포(호러),베트남,,
20243562,1753581970,186475,백설공주,레이첼 지글러|갤 가돗,마크 웹,판타지|뮤지컬,미국,,
20243696,187942120,21433,연소일기,노진업|황재락|하백염,탁역겸,드라마,홍콩,,
20243721,1018515500,40763,정국: 아이 엠 스틸,전정국,박준수,공연,한국,,(주)하이브
20243722,41834900,4984,캐시 아웃,존 트라볼타|크리스틴 데이비스|루카스 하스|퀘이보|노엘 구글리에미,,액션|범죄,미국,,
20243824,363898225,46784,오지: 사라진 숲을 찾아서,아만들라 스텐버그|딘-찰스 채프먼|도날드 서덜랜드|디몬 하운수|로라 던,,애니메이션,미국,,
20243922,22049400,3566,우리가 끝이야,블레이크 라이블리|저스틴 밸도니|제니 슬레이트,저스틴 밸도니,드라마|멜로/로맨스,미국,,
20244001,305570450,35874,"극장판 엉덩이 탐정: 안녕, 나의 영원한 친구",김은아|소연|김사라|사성웅|남도형,,애니메이션,일본,,
20244002,247677400,24625, 극장총집편 봇치 더 록! 후편,아오야마 요시노|스즈시로 사유미|미즈노 사쿠|하세가와 이쿠미,사이토 케이이치로,애니메이션,일본,,
20244142,99395000,5022,레드불 T1 다큐멘터리 : 함께 날아오르다,,,다큐멘터리,오스트리아 ,,
20244167,2991440030,326855,수퍼 소닉3,짐 캐리|벤 슈왈츠|제임스 마스던|티카 섬터|이드리스 엘바,제프 파울러,애니메이션,미국,,파라마운트 픽쳐스
20244257,81223850,9522,호두까기 인형과 마술피리,,,애니메이션,러시아,,
20244317,764762280,82288,고독한 미식가 더 무비,마츠시게 유타카|우치다 유키|이소무라 하야토|무라타 타케히로|유재명,마츠시게 유타카,드라마,일본,,
20244341,212227600,23395,너의 색,스즈카와 사유|타카이시 아카리|키도 타이세이|아라가키 유이,야마다 나오코,애니메이션,일본,,
20244361,27784620,3801,히어 ,톰 행크스|로빈 라이트|폴 베타니|켈리 라일리,로버트 저메키스,드라마,미국,,
20244364,31387100,4407,할머니가 죽기 전 백만장자가 되는 법,빌킨 푸티퐁 아싸라타나쿨|우샤 세암쿰,팟 부니티팻,드라마,태국,,
20244381,32942100,4161,고스트캣 앙주,모리야마 미라이|아오키 무네타카,야마시타 노부히로|쿠노 요코,애니메이션,일본,,
20244513,219812150,24033,룸 넥스트 도어,틸다 스윈튼|줄리안 무어,페드로 알모도바르,드라마,미국,,
20244546,56939000,2289,"알엠: 라이트 피플, 롱 플레이스",,,다큐멘터리,한국,,(주)하이브
